Participant,Block01,Block02,Mean_Block,Accuracy_Math
2,0.81746031746,0.829365079365,0.8234126984125001,0.9848484848484849
3,0.576984126984,0.5875,0.582242063492,0.8484848484848485
5,0.583928571429,0.713095238095,0.648511904762,0.8181818181818181
7,0.979166666667,0.9375,0.9583333333335,0.9090909090909092
8,0.7976190476189999,0.679365079365,0.738492063492,0.9242424242424243
9,0.8373015873019999,0.782738095238,0.8100198412699999,0.9090909090909092
10,0.979166666667,0.979166666667,0.979166666667,0.9696969696969697
12,1.0,1.0,1.0,0.9090909090909092
14,0.883928571429,0.916666666667,0.9002976190480001,0.9393939393939394
17,0.85119047619,0.750992063492,0.801091269841,0.9696969696969697
18,0.634325396825,0.81626984127,0.7252976190475,0.9545454545454546
19,0.848214285714,0.928571428571,0.8883928571424999,0.9848484848484849
20,0.7375,0.740079365079,0.7387896825395,0.9696969696969697
21,0.9553571428569999,0.8720238095239999,0.9136904761904999,0.9545454545454546
22,0.928571428571,0.8095238095239999,0.8690476190474999,0.8787878787878789
23,0.645833333333,0.768849206349,0.707341269841,0.9242424242424243
24,0.583333333333,0.779761904762,0.6815476190475,0.8939393939393939
25,0.8773809523810001,0.869047619048,0.8732142857145,0.9696969696969697
26,0.58630952381,0.817857142857,0.7020833333334999,0.9393939393939394
27,0.681547619048,0.727579365079,0.7045634920635,0.8181818181818181
28,0.848214285714,0.794444444444,0.821329365079,0.9696969696969697
29,0.7839285714290001,0.972222222222,0.8780753968255001,0.9545454545454546
30,0.5700396825399999,0.78869047619,0.6793650793649999,0.893939393939394
31,0.833333333333,0.7023809523810001,0.767857142857,0.8636363636363636
33,0.6587301587300001,0.701785714286,0.680257936508,0.8636363636363636
34,0.40079365079400003,0.694444444444,0.547619047619,0.893939393939394
35,0.840277777778,0.8273809523810001,0.8338293650795,0.9545454545454546
36,0.20238095238099998,0.738095238095,0.470238095238,0.7121212121212122
37,0.0555555555556,0.28214285714299997,0.16884920634929998,0.9545454545454546
38,0.847023809524,0.928571428571,0.8877976190475,0.8787878787878788
39,0.6281746031750001,0.717261904762,0.6727182539685,0.9242424242424243
41,0.5785714285710001,0.702182539683,0.6403769841270001,0.9696969696969697
42,0.866071428571,0.8898809523810001,0.877976190476,0.9696969696969697
43,0.487698412698,0.43630952381000004,0.46200396825400003,0.9545454545454546
44,0.916666666667,0.793055555556,0.8548611111115001,0.9090909090909092
45,0.6882936507940001,0.38611111111100005,0.5372023809525001,0.8636363636363636
46,0.5654761904760001,0.656746031746,0.611111111111,0.9545454545454546
47,0.600793650794,0.650595238095,0.6256944444445001,0.8484848484848484
48,0.544841269841,0.6234126984130001,0.584126984127,0.9090909090909092
49,0.58373015873,0.775793650794,0.679761904762,0.9696969696969697
50,0.930555555556,0.888888888889,0.9097222222225,0.9848484848484849
51,0.97619047619,1.0,0.988095238095,0.9696969696969697
52,0.8442460317460001,0.789682539683,0.8169642857145001,0.9545454545454546
53,0.743055555556,0.933333333333,0.8381944444445,0.9848484848484849
54,0.493055555556,1.0,0.746527777778,0.9696969696969697
