Participant,ACC_Cong,ACC_InCong,RT_Cong_correct_mean,RT_InCong_correct_mean,RT_Cong_correct_median,RT_InCong_correct_median,RT_Cong_correct_sd,RT_InCong_correct_sd,RT_Cong_correct_mad,RT_InCong_correct_mad,Median_Diff_RT,Mean_Diff_RT,ACC_Diff_ACC,Slope_Simon
2,98.88888889,83.33333333,464.4044944,544.76,406.5,521.5,168.0188461,105.869685,118.1609645,80.6928,115,80.35550562,15.55555556,-0.423763239
3,94.44444444,73.33333333,337.3352941,385.9772727,340.5,411,67.75494865,84.48516827,51.26076125,74.25309917,70.5,48.64197861,21.11111111,0.018924533
5,99.44444444,90,442.1061453,513.7962963,419,513.5,101.0600273,100.6121602,72.45566618,76.46296296,94.5,71.69015104,9.444444444,-0.312066212
7,96.11111111,71.66666667,375.5144509,462.4186047,350,433,116.8229931,143.8597585,71.37725951,96.49864792,83,86.90415378,24.44444444,0.326791419
8,97.77777778,78.33333333,364.0681818,448.2978723,355.5,420,52.85728396,96.55296246,40.96539256,65.01041195,64.5,84.22969052,19.44444444,0.550855067
9,99.44444444,83.33333333,433.0055866,522.32,409,516.5,118.5144706,103.0182152,82.01835149,79.6384,107.5,89.31441341,16.11111111,-0.36701278
10,97.22222222,83.33333333,458.8742857,481.56,383,484.5,344.2933562,94.66787486,144.5818122,73.4576,101.5,22.68571429,13.88888889,-1.249636396
12,98.33333333,91.66666667,382.3898305,398.6181818,372,400,61.79521264,70.21118696,48.46997989,51.98876033,28,16.22835131,6.666666667,0.145033992
14,99.44444444,100,334.1787709,374.5166667,322,364.5,79.56102454,56.62199718,43.33585094,41.22,42.5,40.33789572,-0.555555556,-0.356363097
17,97.77777778,91.66666667,424.4375,475.6363636,387,447,124.3527543,108.2571294,78.90340909,87.63636364,60,51.19886364,6.111111111,-0.386634146
18,100,68.33333333,345.8111111,439.804878,330.5,428,60.60899401,74.09022186,42.96493827,56.16180845,97.5,93.99376694,31.66666667,0.141395349
19,97.77777778,86.66666667,401.0909091,420.4038462,378.5,411.5,72.50231703,57.68618947,54.51033058,45.09689349,33,19.31293706,11.11111111,-0.5
20,100,83.33333333,441.3,504.28,425,469.5,110.5368262,164.8505866,78.45444444,115.6736,44.5,62.98,16.66666667,0.419666824
21,96.66666667,80,416.7011494,461.0625,391.5,443.5,105.3189612,109.6241948,69.22896023,77.70052083,52,44.36135057,16.66666667,0.137921617
22,97.22222222,78.33333333,379.5028571,428.6382979,350,410,116.7600878,99.14579198,69.48382041,77.27116342,60,49.13544073,18.88888889,-0.211935731
23,96.66666667,80,375.1091954,415.5416667,353,416,107.5505776,74.02356104,71.83670234,58.5,63,40.43247126,16.66666667,-0.596913739
24,97.77777778,91.66666667,351.9431818,419.7454545,338.5,419,69.13305729,66.84094392,46.36144112,54.46809917,80.5,67.80227273,6.111111111,-0.576998748
25,100,86.66666667,345.4555556,410.8269231,337,402,57.95734535,52.32579732,41.65271605,42.51109467,65,65.37136752,13.33333333,-0.033294926
26,100,91.66666667,361.9888889,420.3636364,348,403,80.43554544,83.13406478,50.33123457,64.28760331,55,58.37474747,8.333333333,-0.112401301
27,98.33333333,70,355.3728814,425.0238095,340,410,70.99349321,76.10726964,51.34214306,65.0260771,70,69.65092817,28.33333333,-0.132955056
28,97.77777778,68.33333333,359.6590909,446.9268293,337.5,422,84.41372757,105.775562,58.98243802,80.74003569,84.5,87.26773836,29.44444444,0.147645294
29,96.66666667,68.33333333,357.4712644,411.2926829,340.5,398,76.95510876,94.40451364,56.45316422,72.14158239,57.5,53.82141856,28.33333333,0.23476298
30,99.44444444,75,418.7877095,467.5333333,396,449,107.1147115,97.0235679,68.20904466,69.46074074,53,48.74562384,24.44444444,0.015235702
31,97.22222222,68.33333333,339.6057143,407.7073171,329,403,53.62298113,85.02947839,38.07542857,66.48066627,74,68.10160279,28.88888889,0.303031628
33,100,85,389.0111111,445.745098,376,437,71.32167972,78.68515569,49.29111111,59.07343329,61,56.73398693,15,0.062626486
34,96.11111111,60,435.4797688,522.0833333,383,492.5,236.0305112,210.8540965,111.162685,120.8796296,109.5,86.60356455,36.11111111,-0.132694219
35,100,75,342.1611111,411.1777778,338,402,43.40341668,53.28494964,33.95141975,38.50864198,64,69.01666667,25,0.329229888
36,99.44444444,80,581.4357542,589.2291667,429,580,898.4081491,162.9712466,277.0941606,113.8732639,151,7.793412477,19.44444444,-1.267614484
37,98.88888889,75,388.3202247,450.3777778,375.5,435,69.1900987,85.63009478,49.37646762,64.89777778,59.5,62.05755306,23.88888889,0.276623628
38,100,96.66666667,362.9055556,448.3103448,349.5,430.5,72.37400512,96.89408341,47.92,76.00832342,81,85.40478927,3.333333333,0.016608788
39,97.77777778,81.66666667,356.2386364,437.1020408,349.5,443,71.38979428,86.18469627,47.50116219,66.6305706,93.5,80.86340445,16.11111111,-0.003053435
41,100,93.33333333,371.8166667,393.0357143,357,378,66.68013155,71.77083841,41.89518519,50.07780612,21,21.21904762,6.666666667,0.135485229
42,96.66666667,91.66666667,408.3448276,506.0181818,392.5,492,75.82346817,99.00776081,55.64962346,57.76859504,99.5,97.67335423,5,0.131884058
43,100,78.33333333,314.7944444,375.8085106,303,357,55.99737596,93.56226439,35.95271605,70.92892712,54,61.01406619,21.66666667,0.430405843
44,97.77777778,93.33333333,385.3522727,425.6964286,369,431,79.04791166,66.59891335,60.69976756,51.30038265,62,40.34415584,4.444444444,-0.455316844
45,96.66666667,76.66666667,366.362069,513.5434783,347,500.5,111.0701541,119.8581952,67.43697979,93.06899811,153.5,147.1814093,20,-0.133817942
46,96.11111111,83.33333333,394.2947977,453.96,376,444,90.76496498,98.32099865,66.15523405,79.3968,68,59.66520231,12.77777778,-0.271561109
47,97.22222222,76.66666667,422.36,504.3043478,396,486,132.9118263,112.0547227,86.49417143,86.47448015,90,81.94434783,20.55555556,-0.342645698
48,97.77777778,80,417.8522727,486.4791667,366,462.5,164.1471493,166.8917332,101.9934143,93.91059028,96.5,68.62689394,17.77777778,-0.3195891
49,100,91.66666667,344.4166667,432.2363636,333.5,419,79.6535708,67.01795327,46.75925926,52.95735537,85.5,87.81969697,8.333333333,-0.294097047
50,99.44444444,90,373.0726257,432.9074074,362,416,57.00966091,81.50917729,39.42049249,62.88683128,54,59.83478171,9.444444444,0.31236847
51,92.22222222,81.66666667,371.1084337,421.1428571,345.5,388,88.80840965,195.4164357,71.32863986,95.09620991,42.5,50.03442341,10.55555556,0.570893192
52,100,90,346.3277778,416.962963,331.5,397.5,69.96925347,90.29468798,50.62320988,73.06721536,66,70.63518519,10,0.057429607
53,98.33333333,81.66666667,381.2316384,498.244898,362,466,86.24066164,173.7786584,57.87768521,100.5955852,104,117.0132595,16.66666667,0.490553312
54,99.44444444,93.33333333,407.9497207,453.1607143,383,436.5,108.9792411,91.82191792,73.98064979,71.04081633,53.5,45.21099362,6.111111111,-0.376141007
