Participant,Block01,Block02,Mean_Block,Accuracy_Sym
2,0.8933333333329999,0.56,0.7266666666665,0.975
3,0.7,0.603333333333,0.6516666666665,1.0
5,0.8666666666670001,0.86,0.8633333333335,0.975
7,0.603333333333,0.593333333333,0.598333333333,0.8999999999999999
8,0.9,0.9666666666670001,0.9333333333335001,1.0
9,0.55,0.58,0.565,1.0
10,0.9,0.666666666667,0.7833333333335,0.8999999999999999
12,0.8266666666670001,0.8266666666670001,0.8266666666670001,0.95
14,1.0,1.0,1.0,1.0
17,0.77,0.623333333333,0.6966666666665,0.925
18,0.713333333333,0.67,0.6916666666665,1.0
19,1.0,0.8666666666670001,0.9333333333335001,0.975
20,0.5633333333330001,0.68,0.6216666666665001,0.95
21,0.926666666667,0.666666666667,0.796666666667,1.0
22,0.686666666667,0.843333333333,0.765,0.975
23,0.603333333333,0.68,0.6416666666665001,0.975
24,0.7733333333329999,0.806666666667,0.79,0.925
25,0.603333333333,0.53,0.5666666666665,0.975
26,0.6,0.483333333333,0.5416666666665,0.8999999999999999
27,0.703333333333,0.67,0.6866666666665,1.0
28,0.813333333333,0.9,0.8566666666664999,0.975
29,0.8666666666670001,0.786666666667,0.8266666666670001,1.0
30,0.91,0.44,0.675,0.95
31,0.7566666666670001,0.56,0.6583333333335001,0.975
33,0.59,0.68,0.635,0.95
34,0.86,0.806666666667,0.8333333333335,0.9
35,0.8833333333329999,0.933333333333,0.9083333333329999,0.975
36,0.40666666666699997,0.656666666667,0.531666666667,0.875
37,0.703333333333,0.58,0.6416666666665,0.975
38,0.686666666667,0.76,0.7233333333335,0.975
39,0.69,0.46666666666699996,0.5783333333334999,0.95
41,1.0,1.0,1.0,0.925
42,0.603333333333,0.67,0.6366666666665,0.95
43,0.76,0.596666666667,0.6783333333335,0.975
44,0.656666666667,0.733333333333,0.6950000000000001,1.0
45,0.516666666667,0.733333333333,0.625,0.95
46,0.68,0.7533333333329999,0.7166666666665,0.975
47,0.713333333333,0.7466666666670001,0.73,0.975
48,0.436666666667,0.47333333333300004,0.455,1.0
49,0.703333333333,0.643333333333,0.673333333333,0.95
50,0.8266666666670001,1.0,0.9133333333335001,1.0
51,0.833333333333,0.713333333333,0.7733333333329999,0.975
52,0.7933333333329999,0.72,0.7566666666665,0.975
53,0.8933333333329999,0.9666666666670001,0.9299999999999999,1.0
54,0.513333333333,0.493333333333,0.503333333333,0.925
